date,iso_a3,currency_code,name,local_price,dollar_ex,dollar_price,USD_raw,EUR_raw,GBP_raw,JPY_raw,CNY_raw,GDP_bigmac,adj_price,USD_adjusted,EUR_adjusted,GBP_adjusted,JPY_adjusted,CNY_adjusted
4/1/2002,SWE,SEK,Sweden,26,10.4,2.5,0.06383,0.05206,-0.1336,0.24046,0.97143,25400.7759,2.227997494,0.1794,0.00959,-0.15387,0.37991,0.54194
4/1/2002,THA,THB,Thailand,55,43.3,1.270207852,-0.45949,-0.46547,-0.5598,-0.36974,0.00165,3594.274881,1.776916691,-0.24865,-0.35683,-0.46096,-0.12091,-0.01769
4/1/2002,TUR,TRY,Turkey,4e+06,1324500,3.02000755,0.28511,0.27089,0.04661,0.49848,1.38149,0.002214358,1.702566963,0.8644,0.59596,0.33756,1.18137,1.4375
4/1/2002,TWN,TWD,Taiwan,70,34.8,2.011494253,-0.14404,-0.15352,-0.3029,-0.00193,0.58621,15162.46709,2.016211818,0.04862,-0.10236,-0.2477,0.2269,0.37096
4/1/2002,USA,USD,United States,2.35,1,2.35,0,-0.01107,-0.18558,0.16603,0.85314,37101.453,2.470033152,0,-0.14398,-0.28258,0.17001,0.30739
4/1/2002,VEN,VEF,Venezuela,2500,857,2.917152859,0.24134,0.2276,0.01097,0.44744,1.30038,,,,,,,
4/1/2002,ZAF,ZAR,South Africa,9.7,10.9,0.889908257,-0.62132,-0.62551,-0.69159,-0.55844,-0.29824,6177.723851,1.830356912,-0.48897,-0.56255,-0.63338,-0.40209,-0.33189
4/1/2003,ARG,ARS,Argentina,4.1,2.88,1.423611111,-0.4213,-0.52244,-0.54723,-0.34796,0.19066,5589.438,1.887402039,-0.15382,-0.40831,-0.42291,-0.04,0.13551
4/1/2003,AUS,AUD,Australia,3,1.61,1.863354037,-0.24254,-0.37492,-0.40737,-0.14656,0.55844,32705.23916,2.618464863,-0.20167,-0.44177,-0.45554,-0.09428,0.0713
4/1/2003,BRA,BRL,Brazil,4.55,3.07,1.482084691,-0.39753,-0.50282,-0.52863,-0.32118,0.23956,4509.421134,1.858283955,-0.10526,-0.37436,-0.38979,0.01509,0.20067
4/1/2003,CAN,CAD,Canada,3.2,1.45,2.206896552,-0.10289,-0.25968,-0.29811,0.01079,0.84577,29309.85911,2.52692281,-0.02023,-0.3149,-0.3318,0.11156,0.31478
